Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
General and Physical Chemistry,Chemical Bonding and Shape of Molecules,"Hybridization and concept of sigma and pi bond|Valence shell Electron Pair Repulsion (VSEPR) theory|Prediction of molecular geometry (Shape of molecules) on the basis of VSEPR and hybridization. ($ BeF_2 $, $ BF_3 $, $ NH_3 , $H_2_O $, $CH_4 $ , $H_2 O$, $ C_2H_2C_2H_4H_2S $)",,,,,,,,,
General and Physical Chemistry,Volumetric Analysis,"Different ways of expressing the concentration of solutions - i. Molarity, ii. Normality iii. Molality iv. Gram /Litre v. Percentage|Titration : i. acid-base titration, ii. Redox titration|Primary standard substances, primary standard solution , secondary standard solution, end point, equivalence point, neutral point, indicators|Derivation of normality equation|Relation between normality and molarity|Selection of indicators in acid-base titration and P H curve|Solving related numerical problems",,,,,,,,,
General and Physical Chemistry,Ionic Equilibrium,"Introduction|Ionization of weak electrolyte (Ostwald's dilution law)|Degree of ionization and ionization constant|Strength of acids and base interm of K a , K b and pK a and pK b values|Acid-base concept i. Arrhenius concept of acids and bases, ii. Bronsted lowrry concept of acids and bases, iii. Lewis concept of acids and bases.|Ionization of water, pH and pH scale.|Hydrolysis of salts. (qualitative concept)|Solubility product principle and its application|Common ion effects and its application|Application of solubility product principle in qualitative analysis|Buffer Solution",,,,,,,,,
General and Physical Chemistry,Electrochemistry,"Introduction|Electrolysis; strong and weak electrolyte|Arrehenius theory of ionization|Faraday's laws of electrolysis|Criteria of product formation during electrolysis|Electrolytic conduction, equivalent and molar conductivities|Variation of conductivity with concentration|Electrode potential, standard electrode potential,standard hydrogen electrode and its|plications|Eletrochemical series and its use to predict the feasibility of redox reactions|Electrochemical cell (Galvanic cell)|EMF of electrochemical cell in the standard state",,,,,,,,,
General and Physical Chemistry,Energetics of Chemical Reactions,"Introduction , unit of energy|Some thermodynamical terms: system, surrounding , boundary , universe different types of system, state function, state variables and internal energy|Exchange of energy between the system and surrounding|Different types of thermodynamic process|The first law of thermodynamics|Sign convention of heat and work|Enthalpy, enthalpy change in chemical reactions|Hess's law of constant heat summation|Heat of neutralization, heat of solution, heat of combustion, heat of vapourization, heat of formation and bond energy",,,,,,,,,
General and Physical Chemistry,Chemical Thermodynamics,Spontaneous process|Second law of thermodynamics|Entropy and its physical concept|Entropy change in phase transformation|Entropy and spontaneity|Entropy changes and their calculation|Gibb's free energy and prediction for the feasibility of reaction|Standard free energy change and equilibrium constant|Influence of temperature on spontaneous process,,,,,,,,,
General and Physical Chemistry,Chemical Kinetics,"Concept of reaction rate|Average rate and instantaneous rate of a reaction|Factors that influences the rate of reaction|Rate law equation, rate constant and its units|I st order, II nd order, III rd order and zero order reactions|Order and molecularity of a reaction|Integrated rate law for a first order reaction|Half-life of a reaction (first order)|Explaining the increase in reaction rate with temperature or collision theory (qualitative concept only)|Concept of activation energy as the energy barrier, activated complex and effect of catalyst on the rate of reaction",,,,,,,,,
,,,,,,,,,,,
Inorganic Chemistry,,,5,2,6,6,6,6,10,6,
Inorganic Chemistry,Hydrogen,"Position in periodic table|Atomic hydrogen, Nascent hydrogen|Isotopes of hydrogen|Ortho and Para hydrogen|Applications",,,,,,,,,
Inorganic Chemistry,Oxygen,Position in periodic table|Types of oxides|Uses of oxygen,,,,,,,,,
Inorganic Chemistry,Ozone,Occurrence|Preparation from oxygen|Structure of ozone|Important properties of ozone|Ozone layer and ozone hole|Uses of ozone,,,,,,,,,
Inorganic Chemistry,Water,Structure|Solvent property of water|Heavy water and uses|Uses,,,,,,,,,
Inorganic Chemistry,Nitrogen and Its Compounds,"Position of nitrogen in Periodic table|Uses of nitrogen|Types of nitrogen oxides (name and Lewis structure)|Ammonia, manufacture by Haber's synthesis method, Physical properties, chemical properties and uses|Oxyacids of nitrogen (type)|Technical production of nitric acid by Ostwald method, Properties of nitric acid and uses., Test of nitrate ion",,,,,,,,,
Inorganic Chemistry,"Halogens: (Chlorine, Bromine and Iodine)","Position in periodic table|Comparative study on: preparation, properties and uses|Manufacture of bromine from carnallite process and manufacture of iodine form: i. sea weeds (principle only), ii. caliche (Principle only)|Uses of halogens|Comparative study on ; preparation, properties and uses of haloacids (HCl, HBr and HI)",,,,,,,,,
Inorganic Chemistry,Carbon,"Position in periodic table|Allotropes of carbon including fullerenes|Laboratory preparation, properties and uses of carbon monoxides",,,,,,,,,
Inorganic Chemistry,Phosphorus,"Occurrence, position in periodic table|Allotropes of phosphorous and uses of phosphorus|Preparation, properties and uses of phosphine|Oxides and oxyacids of phosphorous (structure and uses)|Preparation, properties and uses of orthophospheric acid",,,,,,,,,
Inorganic Chemistry,Sulphur,"Position in periodic table and allotropes|Hydrogen Sulphide: (Laboratory methods and Kipp's apparatus), properties and uses of|Sulphurdioxide : Laboratory preparation, preparation and uses|Sulphuric acid: Manufacture by contact process, properties and uses|Sodiumthiosulphate (hypo): formula and uses",,,,,,,,,
Inorganic Chemistry,Boron and Silicon,"Occurrences, position in periodic table|Properties and uses|Formula and uses of burax, boric acid, Silicate and Silica",,,,,,,,,
Inorganic Chemistry,Noble gas,"Position in periodic table, occurrence and uses",,,,,,,,,
Inorganic Chemistry,Environmental Pollution,"Air pollution, photochemical smog|Acid rain, water pollution|Green house effect",,,,,,,,,
Inorganic Chemistry,Metal and Metallurgical Principles,"Characteristics of metals, non-metals and metalloids|Minerals and ores|Important minerals deposit in Nepal|Different process involved in metallurgical process|Concentration|Calcination and roasting|Smelting|Carbon reduction process|Thermite process|Electrochemical reduction|Refining of metals: poling, electro-refinement etc",,,,,,,,,
Inorganic Chemistry,Alkali and Alkaline Earth Metals,"Periodic discussion and general characteristics|Sodium: Occurrence, Extraction from Downs process; properties and uses|Sodium hydroxide: Manufacture, properties and uses|Sodium carbonate: Manufacture, properties and uses|Alkaline Earth Metals: Periodic discussion and general characteristics, Preparation, properties and uses of -i. quick lime, ii. plaster of Paris, iii. bleaching powder, iv. magnesia v. Epsom salt",,,,,,,,,
Inorganic Chemistry,Copper,Position in periodic table|Occurrence and extraction of copper form copper pyrites|Properties and uses|Chemistry of (i) blue vitriol (ii) black oxide of copper (iii) red oxide of copper,,,,,,,,,
Inorganic Chemistry,Zinc,Position in periodic table|Occurrence and extraction of zinc from zinc blende|Properties and uses of copper|Preparation properties and uses of zinc white and white vitriol|Galvanization,,,,,,,,,
Inorganic Chemistry,Mercury,"Occurrence and extraction of Hg from Cinnabar|Properties of mercury|Mercury poisoning and uses of Hg|Preparation, properties and uses of (i) Calomel (ii) Corrosive Sublimate",,,,,,,,,
Inorganic Chemistry,Iron,"Occurrence and extraction|Varieties of Iron|Properties of Iron|Manufacture of Steel by i. Bessemer process ii. Open hearth process|Heat treatment of steel|Stainless steel|Rusting of iron and its prevention|Uses and biological importance of iron|Structure and uses of green vitriol, Ferric chloride Mohr's salt",,,,,,,,,
Inorganic Chemistry,Silver,Extraction of Silver by cyanide process and its uses|Preparation and uses of iv. Silver chloride v. Silver nitrate,,,,,,,,,
,,,,,,,,,,9,
Organic Chemistry,,,3,2,9,9,9,9,15,,
Organic Chemistry,Introduction to Organic Chemistry,"Fundamental Principles: Definition of organic chemistry and organic compounds, Origin of organic compounds (vital force theory), Reasons for the separate study of organic compounds, Tetra covalency and catenation property of carbon, Classification of organic compounds, Functional groups and homologous series, Meaning of empirical formula, molecular formula, structural formula and contracted formula, Qualitative analysis of organic compounds. (detection of N,S and halogens by Lassaegne's test)|Nomenclature of Organic Compounds: Common names, IUPAC system and IUPAC rules of naming hydrocarbons, alcohols, ethers, aldehydes, Ketones, carboxylic acid, amines, ester, acid derivative halogen derivatives, nitriles etc.), |Structure Isomerism in Organic Compounds: Definition of structure isomerism, Types of structure isomerism chain isomerism, position, isomerism, functional isomerism and metamerism|Preliminary Idea of Reaction Mechanism: Concept of homolytic and herterolytic fission, Electrophile , nucleophiles and free- radicals, Inductive effect, +I and –I effect",,,,,,,,,
Organic Chemistry,Sources of Hydrocarbons,Origin of coal and petroleum| hydrocarbon from petroleum cracking and reforming| aliphatic and aromatic hydrocarbon form coal| quality of gasoline| octane member and gasoline additive,,,,,,,,,
Organic Chemistry,Alkanes,"General methods of preparations: Decarboxylation: Catalytic hydrogenation: Reduction of haloalkane: Kolbe's electrolysis method: Using Grigrand's reagent: Wurtz reaction: From aldelydes and ketones|Physical properties|Chemical properties: Substitutions reaction, oxidation, pyrolysis or cracking aromatization",,,,,,,,,
Organic Chemistry,Alkenes,"General methods of preparation: Dehydration of alcohol, Dehydrohalogenation, Catalytic hydrogenation of alkyne, Kolbe's electrolysis|Laboratory preparation of alkene|Chemical properties of alkene: Addition reaction ( H 2 ,X 2 ,HX, H 2 O, O 3 , H 2 SO 4 )|Oxidation with alkaline KMnO 4 (Baeyer's reaction)|Polymerisation|Test of ethene and uses",,,,,,,,,
Organic Chemistry,Alkynes,"Ethyne - Preparation form i. carbon and hydrogen, ii. Kolbes electrolysis iii. 1,2 dibromoethaneLab preparation of ethyne|Physical properties|Chemical properties: Addition (H 2 ,X 2 , HX, H 2 O, O 3 ), Acidic nature (action with ammonical AgNO 3 and|ammonical Cu 2 Cl 2 ) , Oxidation with alkaline KMnO 4 , Polymerization uses of ethyne",,,,,,,,,
Organic Chemistry,Aromatic Hydrocarbon,"Definition, characteristics of aromatic compounds, Huckel's rule, structure of benzene, isomerism and orientation of benzene derivatives|Preparation of benzenes from - i. decarboxylation ii. phenol iii. ethyne iv. chlorobenzene|Physical properties of benzene|Chemical properties of benzene i. Addition reaction : hydrogen, halogen and ozone ii. Electrophilic substitution reactions: nitration, sulphonation, halogenation Friedal craft's alkylation and acylation iii. Combustion of benzene and",,,,,,,,,
Organic Chemistry,Haloalkanes,"Introduction, classification and isomerism|Preparation of monohaloalkanes from alkanes, alkenes and alcohols|Physical properties of monohaloalkanes|Chemical properties - Substitution reactions - Elimination reaction (dehydrohalogenation) - Grignard's reactions - Reduction reactions - Wurtz's reaction|Polyhaloalkane ; - Laboratory preparation of trichloromethane from ethanol and proponone - Physical properties of trichloromethane - Chemical properties : oxidation reduction, action on Silver Powder, con.nitric acid, propanone, aqueous alkali, Carbylamine reaction , Remer Tiemann reaction , Iodiform reaction, etc.",,,,,,,,,
Organic Chemistry,Haloarenes,"Preparation of chlorobenzene from i. benzene ii. benzene diazonium chloride|Physical properties|Chemical properties|Low reactivity of haloarene as compound to haloalkane in term of nucleophilic substitution reaction - Reduction of chlorobenzene - Electrophilic substitutre reactons - Action with Na, Mg and chloral etc. - Uses",,,,,,,,,
Organic Chemistry,Alcohols,"Introduction, classification, nomenclature and isomerism|Distinction of primary, secondary and tertiary alcohol by Victor Mayer's Method|Preparation of monohydric alcohols form i.haloalkane ii. Grignard's reagents using aldehydes and ketones iii. primary amines iv. Ester| Industrial preparation ethanol form: i. Oxoprocess ii. Fermentation of sugar iii. hydroboration of ethane|Physical properties monohydric alcohols|Chemical properties of monohydric alcohols - Reaction with HX. PX 3 , PCl 5 SOCl 2 - Action with reactive metals like Na, K, Li - Esterification process - Dehydration of alcohols. - Oxidation of primary, secondary and tertiary alcohol with oxidizing agents. - Reduction of alcohols (Catalyic dehydrogenation) - Laboratory test of ethanol - Absolute alcohol, methylated spirit, rectified spirit; alcoholic beverage.|Preparation and uses of ethan- 1, 2. diol (glycol)|Preparation and uses of Propan – 1, 2, 3 triol (glycerol)",,,,,,,,,
Organic Chemistry,Phenols,"Introduction to phenol|Preparation of phenol from i. chlorobenzene ii. Diazonium salt and iii. benzene sulphonic acid|Physical properties of phenol|Chemical properties - Acidic nature of phenol, Action with $ PCl_5 $ $ PX_3 $ , $ NH_3 $, Zn, Na benzene diazonium chloride andphthalic anhydride, Acylation reaction, Kolbe's reaction, Reimer Tiemann's reaction- Electrophilic substitution: halogenation, nitration, sulphonation, brominaiton and Friedal Craft's alkylation - Laboratory test of phenol - Uses of phenol",,,,,,,,,
Organic Chemistry,Aliphatic Ethers,"Introduction, nomenclature classification, isomerism in ether|Preparation of ethers from i. alcohol ii. Williamson's etherification process|Laboratory preparation of ethoxy ethane form ethanol|Physical properties of ether|Chemical properties of etherxyethane - action with HI , PCl 5 , con. HCl, Conc. $ H_2SO_4 $ air and $ Cl_2 $ - Uses of ethoxy ethane",,,,,,,,,
Organic Chemistry,Aromatic Ether,"Preparation of methoxy benzene (anisole)|Halogenation, nitration and sulphonation reactions",,,,,,,,,
Organic Chemistry,Aliphatic Aldehydes and Ketones,"Introduction, structure of carbonyl group, nomenclature and isomerism in carbonylcompound|Preparation of aldehydes and ketones from i. Dehydrogenation and oxidation of alcohol ii. Ozonolysis of alkenes iii. Acid chloride iv. Gem dihaloalkane v. Calalytic distillation of fatty acid vi. Distillaiton of salt of fatty acid vii. Calalyic hydration of alkynes|Physical properties|Chemical properties i. Addition reaction: addition of $ H_2 $ , HCN, $ NaHSO_3 # and Grignand's reagents ii. Action with ammonia derivatives; $ NH_2 $ OH, $ NH_2-NH_2 $ , phenyl hydrazine, semicarbazides and 2,4- DNP iii. Reduction properties of aldelydes - Oxidation with Tollen's reagent, Fehling's solution iv. Aldol or condensation reaction; clemennson's reduction Wolf- Kischner reduction, Action with PCl 5 , action with LiAlH 4 v. Special reaction of methenal; cannazzaro's reaction, action with ammonia, action with phenol. formalin and its uses",,,,,,,,,
Organic Chemistry,Aromatic Aldelydes and Ketones,Preparation of benzaldelyde from toluene|Properties of benzaldelyde|Important reaction benzaldelyde different form aliphatic aldelydes: - Perkin condensation - Benzoin condensation - Electrophilic substitution reaction - Cannizzaro's reaction|Preparation of acetophenone by Friedal Craft's acylation,,,,,,,,,
Organic Chemistry,Aliphatic Carboxylic Acids,"Introduction, nomenclature, examples|Preparation of monocarboxylic acids from i. aldehydes ii. nitriles iii. Grignard's reagents iv. dicarboxylic acid v. sodium alkoxide vi. trihaloalkanes|Physical properties of monocarboxylic acids|Chemical properties: Action with alkalies metal oxides, metal carbonates, metalbicarbonates, PCl 3 , LiAlH 4 and dehydration of carboxylic acid, esterification, halogenation|Effect of constituents on the acidic strength of carboxylic acid|Laboratory preparation of methanoic acid|abnormal behaviour of methanoic acid|Uses of carboxylic acid",,,,,,,,,
Organic Chemistry,Derivatives of Carboxylic Acid,"Nomenclature, preparation and properties of i. Acid halides iii. Acid anhydrides and ii. Acid amides iv. Esters",,,,,,,,,
Organic Chemistry,Aromatic Carboxylic Acids,Preparation of benzoic acid|Physical and chemical properties|Uses of benzoic acid,,,,,,,,,
Organic Chemistry,Aliphalic Nitrocompounds (Nitroalkane),Introduction and nomenclature|Preparation from haloalkane and alkane|Physical properties|Reduction of nitroalkane|Uses,,,,,,,,,
Organic Chemistry,Aromatic Nitrocompounds,properties|Chemical properties - Reduction in different media - Electrophilic substitution reactions - Uses of nitrobenzene,,,,,,,,,
Organic Chemistry,Aliphatic Amines,"Introduction, nomenclature and classification|Separation of primary , secondary and tertiary amines by Hoffmann's method|Preparation of primary amines form haloalkane , nitriles, nitroalkanes and amides|Physical properties|Chemical Properties: basicity of amines, comparative study of basic nature of 1 degre , 2 degree and 3 degree amines. Reaction of Primary amines with chloroform, conc. HCl, R-X, RCOX and nitrous acid ($ NaNO_2 $ / HCl)|Test of 1 0 , 2 0 and 3 0 amines. (nitrous acid test)",,,,,,,,,
Organic Chemistry,Aromatic Amine (Aniline),"Laboratory preparation of aniline|Physical properties|Chemical properties: bassicity of aniline, comparision of basic nature of aniline with aliphatic amines; alkylation , acylation , diazotization, carbylamine and coupling reaction|Electrophilic substitution : Nitration sulphonation and bromination|Uses of aniline",,,,,,,,,
Organic Chemistry,Molecules of Life,Carbohydrates|Protein|Nucleic Acid|Lipid|Enzymes and their functions,,,,,,,,,
Organic Chemistry,Chemistry in Service to Mankind,Polymer|Dyes|Fertilizer|Pesticides,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,IE-Engineering,,,
,,,,,,,,15,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,IE-Engineering,,,
,,,,,,,,15,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,IE-Engineering,,,
,,,,,,,,15,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,IE-Engineering,,,
,,,,,,,,15,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,IE-Engineering,,,
,,,,,,,,15,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,6,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,9,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
