question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
Ex-flagellation in the life cycle of plasmodium occurs in:,trophozoite,microgametocyte,macrogametocyte,merozoites,b,zoology,,,,,
Outer covering of Paramecium is known as,Pellicle,Cuticle,Plasmalemma,plasma membrane,a,zoology,,,,,
"In earthworm, ovaries attached to septa between segment",12 and 13,13 and 14,11 and 12,12 and 16,a,zoology,,,,,
"If the skin of earthworm becomes dry, it dies due to",starvation,intoxication,asphyxia,dehydration,c,zoology,,,,,
Self-fertilization does not occur in earthworm because:,sperms mature earlier than ova,fertilization is external,ova mature earlier than sperms,cocoon formation takes place,a,zoology,,,,,
Response of organisms to stimulus of touch is called:,phototaxis,thermotaxis,hydrotaxis,thigmotaxis,d,zoology,,,,,
Brachial and muculo-cutaneous veins in frog unite to form,innominate vein,external jugular vein,subclavian vein,postcaval vein,c,zoology,,,,,
RBC of frog is:,"elliptical, non-nucleated biconclave","elliptical, nucleated, biconvex","oval, non-nucleated biconvex","oval, nucleated, biconcave",b,zoology,,,,,
Which is not involved in respiration in frog?,Diaphragm,Lungs,Skin,Buccal Cavity,a,zoology,,,,,
Ambhibian heart is:,4 chambered,3 chambered,2 chambered,1 chambered,b,zoology,,,,,
Golden age of replites,Palaeozoic era,Mesozoic era,recent,proterozoic era,b,zoology,,,,,
Fertilization is internal in:,cat fish,dog fish,frog,toad,b,zoology,,,,,
Which is not a member of echinodermata?,star fish,ascaris,sea lily,ophiuthrix,b,zoology,,,,,
Sea mouse' is common name of:,Aphrodite,Chaetopterus,Gordius,Enterobius,a,zoology,,,,,
Which is false about arthropods?,jointed legs circulatory system,closed,true coelom is restriced to gonads,body cavity is full of haemolymph,b,zoology,,,,,
What is false about annelids?,annuli present,triplobastic,ture coelomate,open circulatory system,d,zoology,,,,,
All are endodermal in origin except,liver,spleen,panchreas,tongue,b,zoology,,,,,
Posterior pituitary gland develops from:,ectoderm,endoderm,mesoderm,ectomesoderm,a,zoology,,,,,
Skeleton and muscle in a vetebrate embryo develop from,ectoderm and endoderm,ectoderm and mesoderm,ectoderm only,mesoderm only,d,zoology,,,,,
Blood capillaries are made up of:,endothelium and muscle fibre,endothelium and muscle firbe,endodthelium and connective tissue,endothelium and connective tissue with muscle fibre,d,zoology,,,,,
Duck-billed platypus is connecting link between:,Echinodermata and chordate,Arthropoda and mollusca,Reptilian and mammalian,Reptilia and avess,c,zoology,,,,,
An important evidence in favour of organic evolution is the occurance of:,homologous and analgous organs,homologus and vestigial organs,homologous organs only,vestigial organs,a,zoology,,,,,
Total number of teeth in rabbit is,24,28,34,44,b,zoology,,,,,
Which of the following is not related to thyroid gland?,Myxeedema,Acromegaly,Cretinism,Goitre,b,zoology,,,,,
The relationship between tow animals in which one gets benefit and other gets neither benefit nor harm is:,mutualism,commensalism,parasitism,symbiiosis,b,zoology,,,,,
"In aves, vertebrae are:",Heterocoelous,Ambhicoelous,Acoelous,Homocoelous,a,zoology,,,,,
