question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
"During plant evolution, which one develops last?",Embryo,Vascular tissue,seed,flower,d,Botany,,,,,
Sporangia of fern develop on,Roots,Rhizoids,stems,leaves,d,Botany,,,,,
Widal test is used for susceptibility of:,Malaria,cholera,yellow fever,Typhoid,d,Botany,,,,,
Mechanical tissue is undeveloped in,xerophytes,hydrophytes,halophytes,mesophyte,a,Botany,,,,,
Who coined the term cell?,Purkinje,Robert Brown,Robert Hooke,Hugo von Mohl,c,Botany,,,,,
"In which of the following stages, chromosomes are arranged in equatorial phase?",Anaphase,Metaphase,Prophase,Telophase,b,Botany,,,,,
Amount of $ CO_2 $ absorbed in photosynthesis is almost,double of $ O_2 $ liberated,equal to $ O_2 $ liberated,half of $ O_2 $ liberated,negligeable to $ O_2 $ liberated,b,Botany,,,,,
Lowest value of water potential can be observed in,root,stem,leaf,none,c,Botany,,,,,
Histones are,acidic proteins,basic proteins,mucoprotein,glucoprotein,b,Botany,,,,,
In roots lateral branches grow from,Epiblema,pericycle,cortex,endodermis,b,Botany,,,,,
Capitulum inflorescence with involucres of bracrs having disc and ray florets is,Leguminoseae,Compositae,Liliaceae,Solanaceae,b,Botany,,,,,
Leafy stipules are present in,Mustard,Lathyrus,Cotton,Crysanthemum,b,Botany,,,,,
Total stem parasite is,cuscuta,loranthus,pitcher plant,rafflesia,a,Botany,,,,,
Parasitic algae is:,Cephaleuros,Vorticella,Spirogyra,none,a,Botany,,,,,
Spark discharge apparatus for testing chemical origin of life was designed by,Urey and Miller,Jacob and Monod,Oparin and Haldane,Dixon and Jolly,a,Zoology,,,,,
Cnemial crest is present in:,tibia,fibula,radius,ulna,a,Zoology,,,,,
Mesonephric kidney is found in:,Amphibia,Mammalia,Repitilia,Aves,a,Zoology,,,,,
Dicondylic skull with 10 pairs of cranial nerves occur in,Pisces,Amphibia,Repitilia,Mammalia,b,Zoology,,,,,
Mesozoic era was dominated by,Gymnosperms,Mammals,Dinosaurs,Fishes,c,Zoology,,,,,
Cuttle fish is a member of,Mollusca,Echinodermata,Pisces,Amphibia,a,Zoology,,,,,
Echinodermata is a group of animals:,"Coelomate, spiny and marine","Acoelomate, spiny and marine","Coelomate, horny and marine","jointed leg, coelomate and marine",a,Zoology,,,,,
Heart is two chambered in:,Fishes,Amphibians,Reptiles,Birds,a,Zoology,,,,,
Which one develops from mesoderm?,Testes and Pancreas,Nervous system and skeleton,Blood vessels and excretory organs,sense organs and muscles,c,Zoology,,,,,
Development of frog completes in:,6 steps,3 steps,5 steps,4 steps,c,Zoology,,,,,
"In frog, blood flows to right auricle from:",venacava,sinus venosus,pulmonary artery,all,b,Zoology,,,,,
Number of cranial nerves in frog is,10 pairs,9 pairs,12 pairs,none,a,Zoology,,,,,
Bidders canal is found in,testes of frog,kidney of frog,kidney of rabbit,both a and c,b,Zoology,,,,,
Response of organism to current of water is:,Hydrotaxis,Geotaxis,Rheotaxis,Chemotaxis,c,Zoology,,,,,
"In earthworm, mouth helps in",selection and ingestion of food,ingestion and burrowing,selection and burrowing,all,b,Zoology,,,,,
Well fed earthworm is:,Ammonotelic,Ureotelic,Uricotelic,all,a,Zoology,,,,,
Which nephridia in earthworm is related to blood gland?,septal nephridia,pharyngeal nephridia,integomentory nephridia,all,b,Zoology,,,,,
Crytopyge of paramecium is meant for,ingestion,osmoregulation,reproduction,egestion,d,Zoology,,,,,
Pre-patent period of malaria is between:,inoculation and first fever,liver cycle and RBC cycle,inoculation and first release of merozoites,incoculation of mosquito and sporozoites formation,c,Zoology,,,,,
Respiratory centre is located in,cerebellum,the vagus nerve,cerebral peduncle,medulla oblangata,d,Zoology,,,,,
Mammalian thymus is mainly concerned with,regulation of body temperature,regulation of body growth,immunological functions,secretion of thyrotropin,c,Zoology,,,,,
The pacemaker of heart is,SA node,AV node,sinus venosus,Bundle of His,a,Zoology,,,,,
One oxygen molecule can carry ....... Hb molecules,1,3,4,2,c,Zoology,,,,,
The biogenetic law of Haeckel is,omnis vivu e vivum,omnus cellula e cellula,ontogeny repeates phylogeny,phylogeny repeats ontogeny,c,Zoology,,,,,
Wings of bird and bat are,Homologous with no analogy,Analogous with no homology,Neither analogous nor homologous,Both homologous and anaologous,d,Zoology,,,,,
Which is correct?,Neuron = cyton + dendrite + axon + synapse,Lymph = plasma + RBC + WBC,Blood = plasma + RBC + WBC + blood platelets,Plasma = blood + lymphocytes,c,Zoology,,,,,
Intervertebral disc consists of shock absorbing connective tissue called as,Hyaline cartilage,Elastic cartilage,Fibro cartilage,Reticulo cartilage,c,Zoology,,,,,
The hormone that controls Calcium and Phosphorus level in body is secreted by,thyroid,parathyroid,pituitary,thymus,b,Zoology,,,,,
Which is responsible for body pigmentation?,keratin,$ \beta $ cartoene,Histochrome,Melanin,d,Zoology,,,,,
"In desert, camel can store extra water in the:",ommasum,Rumen,colon,intestine,b,Zoology,,,,,
