question	a	b	c	d	correct	exam_code	subject	question_image	a_image	b_image	c_image	d_image	mark
The values of $ E^{0}_{Zn/Zn^{2+}} $ = 0.76 V and that of $ E^{0}_{Fe^{2+}/Fe} $ = -0.41 V. The $ E^{0}_{cell} $ of the cell with net cell reaction is	-0.35 V	-1.17 V	+1.17 V	+0.35 V	d	301	Chemistry						1
The order of reaction which obeys $ t_{\frac{1}{2}} $ = 1/$ K_a $ is	first	second	third	zero	b	301	Chemistry						1
In an adiabatic expansion of ideal gas	$ \triangle $ E = 0	$ \triangle $ W =$ \triangle $ E	$ \triangle $ W =- $ \triangle $ E	$ \triangle $ W = 0	c	301	Chemistry						1
The ability of an atom to attract shared electron pair towards itself is called	Electro negativity	Electron affinity	Ionization potential	Reducing power	a	301	Chemistry						1
Which one of the following is not found in alkenes?	Chain isomerism	Geometrical isomerism	Metamerism	Position isomerism	c	301	Chemistry						1
The reagent used in dehalogenation process is 	alc. KOH	Zn dust + alc	Na	KOH (aq)	b	301	Chemistry						1
Baeyer's reagent is	Alkaline permanganate solution	Acidified permanganate solution	Neutral permanganate solution	Aqueous bromine solution	a	301	Chemistry						1
Iodoform test is not given by	Ethanol	Benzophenone	Ethanal	Acetophenone	b	301	Chemistry						1
Which is formed by the addition of halogen to alkenes?	Vic-dihalide	Gem-dihalide	Propane	Propene	a	301	Chemistry						1
Grignard reagent is prepared by the reaction between	zinc and alkyl halide	magnesium and alkyl halide	magnesium and alkane	magnesium and aromatic hydrocarbon	b	301	Chemistry						1
Identify the product z in the series $ CH_3CN \space \space \underrightarrow{Na/C_2H_5OH} \space \space X \space \space \underrightarrow{HNO_2} \space \space Y \space \space \underrightarrow{[O]} \space \space Z $	$ CH_3CHO $	$ CH_3CH_2CONH_2 $	$ CH_3COOH $	$ CH_3CH_2NHOH $	c	301	Chemistry						1
Which aldehyde cannot be obtained by Rosenmund's reaction	$ CH_3CHO $	HCHO	$ CH_3CH_2CHO $	All	b	301	Chemistry						1
Presence of peptide bond is the characteristic feature of	Carbohydrates	Lipids	Nucleic acids	Proteins	d	301	Chemistry						1
Stratum germinativum is an epithelial of the type	squamous	ciliateo	columnar	cuboidal	c	301	Biology						1
Cardiac glands are present in	Pericardium	Myocardium	Eudocardium	Stomach	d	301	Biology						1
The greatest quantity of air that can be expired after a maximum inspiratory effort is its	Residual volume	Tidal volume	Vital capacity	Lung volume	c	301	Biology						1
Mammalian erythrocytes have short life span due to absence of	ER	Mitochondria	Nucleus	Golgi comples	c	301	Biology						1
Vagus nerve slows down heart beat due to secretion of 	adrenaline	Acetylcholine	norepinephrine	Dopamine	b	301	Biology						1
Volume of urine is regulated by	Aldosterone	Aldosterone and ADH	Aldosterone, ADH and testosterone	ADH	b	301	Biology						1
Occipital lobe is connected with 	smell	vision	hearing	speech	b	301	Biology						1
Area of retina having maximum no of cones is	Conjunctiva	Iris	Blind Spot	Forex centralis	d	301	Biology						1
Complete failure of anterior lobe of pituitary causes	addison's disease	Aeromegaly	Cushing's disease	Simmond's disease	d	301	Biology						1
Brachial and musculo-cutaneous veins in frog unite to form	innominate vein	Ext. jugular vein	subclavian vein	post caval vein	c	301	Biology						1
Venous system of frog differs from that of mammal in presence of	Hepatic portal system	Renal portal system	Three renacava	Hepatic vein	b	301	Biology						1
In earthworm, septa are abent in segments	8-12	17-21	1-4	14-26	c	301	Biology						1
Schuffner's dots, in patient of malaria, are found in 	RBCs	Liver cells	Signet-ring bophozoites	Gametocytes of plasmodium	a	301	Biology						1
pH of saliva is about	1.5	3.5	6.8	7.4	c	301	Biology						1
Which was absent in atmosphere at the time of origin of life	$ NH_3 $	$ H_2 $	$ O_2 $	$ CH_4 $	c	301	Biology						1
Which is direct ancestor of Homo Sapiens?	Homo erectus	H. Sapiens neanderthalensis	Ramapitheeus	Australopitheeus	a	301	Biology						1
Endothelium lining of blood vessel is formed of	ciliated epithelium	columnar epithelium	cuboidal epithelium	simple squamous epithelium	d	301	Biology						1
HIV attacks	B-cell	T-cells	Antigen presenting cells	T-helper cells	d	301	Biology						1
Cocaine is obtained from	Rauwolfia	Erythroxylon	Papaver	Encalyptus	b	301	Biology						1
Morphogenetic movements occur in	Cleavage stage	Morula	Blartula	Gastrula	d	301	Biology						1
Parietal bone is found in	Pectoral gridle	pelvic gridle	skull	limb	c	301	Biology						1
Integument without hair and oil glands is related to	Xerodes	Aquatia mammals	Terrestrial mammals	Scansorials	b	301	Biology						1
Canal system is characteristic of	sponges	Sea-anemone	Sea-urchin	hydra	a	301	Biology						1
Telly fishes belong to class	Hydrowa	Scyphowa	Anthowa	None	b	301	Biology						1
Both extracellular and intracellular digestion is found in	Porifera	Protozoa	Coelentrata	Platyhelminthesis	c	301	Biology						1
Which is not found in male cockroach?	Phallic gland	Mushroom gland	Utricular gland	Collarated gland	d	301	Biology						1
Which is social inseet?	White ants	Locusts	Bed bug	Mosquitoes	a	301	Biology						1
Salamander is member of 	Aves	Amphibia	Reptile	Pisces	b	301	Biology						1
Retrogressive metamorphosis is found in	Cephalochordata	Urochrondata	Fishes	Amphibia	b	301	Biology						1
Whate is mammal because it has	Diaphragm	Protuted Serotum	vivipary	Mammary glands	d	301	Biology						1
Mycoplasma differs from bacteria in the absence of	DNA	Ribosome	Cell membrane	Cell wall	d	301	Biology						1
The organism which has the property of changing sugar m to alcohol 	Mucor	Saccharomyces	Spitogyra	Chlamydomonas	b	301	Biology						1
Rhizoid in Marchendra are	Branched unclullar	Branched mutillation	Unbranched multicellular	Unbranched uniicellular		301	Biology						1
A term differs from moss in having	swimming archegonia	Swimming antherozorth	independent gametophytes	independent sporophytes	d	301	Biology						1
Archegonia of gymnosperm lack	neck and all	Venter end call	both a and b	venter cell	c	301	Biology						1
The corc cambium corc and secondary cortex are collectively called	phellogen	phellem	peridum	phellodem	c	301	Biology						1
Active absorption of water is affective by	osmosis in cytoplasm	transpiration pull	osmotic tissue	None	b	301	Biology						1
The functional unit of chloroplast is 	oxysomes	quantasomes	chlorophyll	grana	b	301	Biology						1
Lysosome was discovered by	Tatum 	Palade	Kollicker	de Dude		301	Biology						1
Mesogamy is the entry of pollen through	Integument	micropyle	chalaza 	mesocards	a	301	Biology						1
Ovules symmetrized and straight with chdara at the base and micropyle at the tip are called	Andropous	amphitropous	orthotropous	campylotropous	c	301	Biology						1
Double fertilisation is the	fertilization of two eggs in embryo sac	fusion of one male gamete with egg and other with secondary nuclei	fusion of two male gamets with polar nucleus	fusion of one male gamete with secondary nucleus.	b	301	Biology						1
Respiratory roots ( pneumato phores) are present in 	mesophytes	halophytes	xerophytes	hydrophytes	b	301	Biology						1
Fruit developing from spike inflorencence is 	syconus	sorosis	balausta	pepo	a	301	Biology						1
Gossypium hirsutum is the botanked name of 	potato	suggarcane	soyabean	cotton plant	d	301	Biology						1
What is Chargaff's law?	A + C = G + T	A + T = G + C	A + G = C + T	None	c	301	Biology						1
Interchange of parts of chromatids of a pair of chromosome is known as	gene mutation	Crossing over	Linkage	Dihybrid cross	b	301	Biology						1
The embryos produced from somatic cells in tissue culture are known as.	callus	callose	Embryoid	Embryon	c	301	Biology						1
DNA recombiant technology is also called	gene theory	Gene mutation	genetic engineering	DNA finger prints	c	301	Biology						1
The association of fungus and roots of higher plants are called	pneumatophores	assimilatory roots	floating roots	mycorrhizal roots	d	301	Biology						1
