question,a,b,c,d,correct,subject,question_image,a_image,b_image,c_image,d_image
"In the following reaction $ C_6H_5COOCH_3 \xrightarrow{LiAlH_4, H_2O/H^+} A+B $, A and B are respectively",$ C_6H_5CH_2OH + HCOOH $,$ C_6H_5CH_2OH + CH_3OH $,$ C_6H_5OH + CH_3COOH $,$ C_6H_5COOH + CH_3OH $,b,chemistry,,,,,
Sporangia bearing sori are produced on:,leaf,stem,prothallus,none,a,botany,,,,,
"In moss capsule, numberof peristome teeth of each row is",8,16,10,20,b,botany,,,,,
"A gene pair hides the effect of another, the phenomenon is",Epistatis,Dominance,Mutation,None,a,botany,,,,,
Vegetative reproduction in fungi takes place by:,Budding,fragmentation,Fission,All of them,d,botany,,,,,
Yeast cells are:,Parasites,Saprophytes,Autotrophic,symbiotic,b,botany,,,,,
"In Bryophytes, sporophyte is formed by germination of:",Gemmae,Spores,Zygote,Tubers,c,botany,,,,,
Black mould of bread is common name of:,Albugo,Rhizopus,Aspergillu,Puccinia,b,botany,,,,,
No. of gametes formed in each cell during conjugation in spirogyra is:,1,2,8 - 16,many,a,botany,,,,,
Chilgoza is the name of seed of:,monocot,dicot,conifers,false fruit,b,botany,,,,,
Yeasts are produced during manufacture of:,Ethyl alcohol,Acetic acid,cheese,Curd,a,botany,,,,,
"In a pond ecosystem, the food chain starts with:",Phytoplankton,Zooplankton,Aquatic insects,Small fishes,a,botany,,,,,
Fermentation of pyruvic acid into carbon dioxide and water ocuurs in:,Glycoxylate cycle,fermentation,Krebs cycle,Golgi cycle,c,botany,,,,,
Glycolysis is a process in which glucose is degraded into:,Two carbon sugar in absense of oxygen,Three carbon sugar in absense of oxygen,Three carb onsugar in presence of oxygen,Four carbon sugar in presence of oxygen,d,botany,,,,,
Qantasomes are found in:,Mitochondria,Choloroplast,Lysosome,Endoplasmic reticulum,b,botany,,,,,
Hydrolytic enzyme are stored in:,Golgi bodies,Lysosomes,Endoplasmic reticulum,Mitochondria,b,botany,,,,,
"In Nucleic acid, nucleotides are joined by:",Glycosidic bond,Phosphate group,Peptide bond,Hydrogen bond,b,botany,,,,,
The tendrils of vitis (grape) plant are modified:,Axillary bud,Terminal bud,Extra axillary bud,Floral bud,b,botany,,,,,
Phylloclades are present in:,Opuntia,Asparagus,Bougainvelia,Citrus,a,botany,,,,,
Wood of cycas is:,Ring porous,diffuse porous,Polyxylic,Phenoxylic,c,botany,,,,,
Wich of the following does not have polypetalous flower?,Crucierae,Malvaceae,Liliaceae,compositae,d,botany,,,,,
The medium of food vacoule of Amoeba remains:,alkaline,acidic,neutral,first acidic then alkaline,d,zoology,,,,,
Devil fih is:,Coelenterates,Pisces,Crustaceans,Moccuses,d,zoology,,,,,
"In arthropods, the body cavity is called:",Enteron,Pseudocoel,Haemocoel,Coelem,c,zoology,,,,,
Body of an insect is divisible into:,"head, thorax, abdomen","head, trunk, abdomen","cephalothorax, head, abdomen","trunk, thorax, abdomen",a,zoology,,,,,
Aristotles lantern occurs in:,Sea urchin,Asterias,Ophiothrix,Sea anemone,a,zoology,,,,,
Which one is a fish ?,Star fish,Silver fish,Shark,Jelly fish,c,zoology,,,,,
Tadpole respires through,Skin ,Gills,Lungs,tail fin,b,zoology,,,,,
"When lizards are threatened, they can break off their tails and escape. This phenomenon is called:",Fragmentation,hypertomy,autotomy,hypoyony,c,zoology,,,,,
Pigment cells of frog are found in:,epidermis only,dermis only,both epidermis and dermis,none,b,zoology,,,,,
The venous system of frog differs from that of mammal in having:,heptic vein,renal portal system,hepatic portal system,dorsal aorta,b,zoology,,,,,
The cavity formed during embryogenesis of frog is:,blastocoel,archenteron,coelenteron,mesenteron,b,zoology,,,,,
Cliterllum of earthworm consists of Segments:,"7,8,9",10 to 12,14 to 16,18 to 20,c,zoology,,,,,
Chromophill cells of earthworm contain:,only amylatic enzyme,only proteolytic,only chitinase enzyme,all,b,zoology,,,,,
How many heaarts are found in earthworm?,4 pairs,1 pair,3 paris,8 pairs,a,zoology,,,,,
Fever in malaia is due to:,entry of sporozoites in blood capillaries,entry of merozoites into liver cells,release of merozoites from red blood cells,entry of cryptomerozoites into red blood cells,c,zoology,,,,,
Kappa partiicles in Paramecium produce a toxic substance called,Toxin,Paramecium,Hypnotoxin,Neurotoxin,b,zoology,,,,,
Volant animals don't have:,heavy bones,beak,flight muscles,light bones,d,zoology,,,,,
"Which hormone promotes cell division, proten synthesis and bone growth?",GH,PTH,ADH,ACTH,a,zoology,,,,,
Digital formula of hind limb of rabbit is:,"2,2,3,4,3","0,3,3,3,3","2,3,3,3,3","0,2,2,3,3",b,zoology,,,,,
Number of vertebra in rabbit is:,45-47,46-48,33-36,42-44,a,zoology,,,,,
Which of the following blood cells help in blood coagulation ?,RBCs,Lymphocytes,Thrombocytes,Basophils,c,zoology,,,,,
Connective tissue belongs to:,ectoderm,mesoderm,endoderm,all of above,b,zoology,,,,,
Retina is most sensitive at:,optic disc,periphery,macula densa,fovea centralis,d,zoology,,,,,
Right lung of rabbit is divided into:,4 lobes,2 lobes,6 lobes,8 lobes,a,zoology,,,,,
"In mammals, mammary glands are modified:",sweat glands,sebaceous glands,thymus gland,meibomian gland,a,zoology,,,,,
The functional unit of kidney is:,Nephron,Glomerulus,Bownan's capsule,Loop of Hence,a,zoology,,,,,
Life has existed on earth for last,2.3 billion year,4.3 billion years,3.9 billion years,5.0 billion years,c,zoology,,,,,
Evolutionary history of an organism is called:,ontegeny,phylogeny,ancestry,palaeontology,b,zoology,,,,,
Cleavage differs from mitosis because,There is no growth phase in cleavage,consumption of $ O_2 $ increases in cleavage,nucleus-cytoplasmic ratio increases in cleavage,all of the above,d,zoology,,,,,
All are endodermal in origin except:,liver,spleen,pancrease,tongue,b,zoology,,,,,
