"question	a	b	c	d	correct	subject	question_image	a_image	b_image	c_image	d_image	mark",,
“In a set of degenerate orbitals," the electrons distribute themselves to retain like spins as far as possible.” This statement is attributed to:	Pauli's exclusion principle	Aufbau's principle	Hund's rule of maximum multiplicity	Heisenberg's uncertainty principle	c	Chemistry						",
"The no. of molecules in 36 mg of water is	$ 12 \times 10^{23} $	$ 6.023 \times 10^{23} $	$ 12.04 \times 10^{20} $	$ 12 \times 10^{21} $	c	Chemistry						",,
"The rates of diffusion of $ O_2 $ and $ H_2 $ at same P and T are in the ratio	$ 1:4 $	$ 1:8 $	$ 1:16 $	$ 4:1 $	a	Chemistry						",,
In which of the compound," oxygen has an oxidation state of +2?	$ H_2O_2 $	$ H_2O $	$ OF_2 $	CO	c	Chemistry						",
"100 mL of 0.3N HCL solution were mixed with 200 mL of 0.6N $ H_2SO_4 $ solution. The final acidic normality is	0.9 N	0.6 N	0.5 N	0.4 N	c	Chemistry						",,
In electrolytic cell," flow of electrons is from	cathode to anode in solution	cathode to anode through external supply	cathode to anode through internal supply	anode to cathode through internal supply	b	Chemistry						",
"The values of $ E^{0}_{Zn/Zn^{2+}} $ = 0.76 V and that of $ E^{0}_{Fe^{2+}/Fe} $ = -0.41 V. The $ E^{0}_{cell} $ of the cell with net cell reaction is	-0.35 V	-1.17 V	+1.17 V	+0.35 V	d	Chemistry						",,
"The order of reaction which obeys $ t_{\frac{1}{2}} $ = 1/$ K_a $ is	first	second	third	zero	b	Chemistry						",,
"In an adiabatic expansion of ideal gas	$ \triangle $ E = 0	$ \triangle $ W =$ \triangle $ E	$ \triangle $ W =- $ \triangle $ E	$ \triangle $ W = 0	c	Chemistry						",,
"The ability of an atom to attract shared electron pair towards itself is called	Electro negativity	Electron affinity	Ionization potential	Reducing power	a	Chemistry						",,
"Which one of the following is not found in alkenes?	Chain isomerism	Geometrical isomerism	Metamerism	Position isomerism	c	Chemistry						",,
"The reagent used in dehalogenation process is 	alc. KOH	Zn dust + alc	Na	KOH (aq)	b	Chemistry						",,
"Baeyer's reagent is	Alkaline permanganate solution	Acidified permanganate solution	Neutral permanganate solution	Aqueous bromine solution	a	Chemistry						",,
"Iodoform test is not given by	Ethanol	Benzophenone	Ethanal	Acetophenone	b	Chemistry						",,
"Which is formed by the addition of halogen to alkenes?	Vic-dihalide	Gem-dihalide	Propane	Propene	a	Chemistry						",,
"Grignard reagent is prepared by the reaction between	zinc and alkyl halide	magnesium and alkyl halide	magnesium and alkane	magnesium and aromatic hydrocarbon	b	Chemistry						",,
"Identify the product z in the series $ CH_3CN \space \space \underrightarrow{Na/C_2H_5OH} \space \space X \space \space \underrightarrow{HNO_2} \space \space Y \space \space \underrightarrow{[O]} \space \space Z $	$ CH_3CHO $	$ CH_3CH_2CONH_2 $	$ CH_3COOH $	$ CH_3CH_2NHOH $	c	Chemistry						",,
"Which aldehyde cannot be obtained by Rosenmund's reaction	$ CH_3CHO $	HCHO	$ CH_3CH_2CHO $	All	b	Chemistry						",,
"Presence of peptide bond is the characteristic feature of	Carbohydrates	Lipids	Nucleic acids	Proteins	d	Chemistry						",,
"Stratum germinativum is an epithelial of the type	squamous	ciliateo	columnar	cuboidal	c	Biology						",,
"Cardiac glands are present in	Pericardium	Myocardium	Eudocardium	Stomach	d	Biology						",,
"The greatest quantity of air that can be expired after a maximum inspiratory effort is its	Residual volume	Tidal volume	Vital capacity	Lung volume	c	Biology						",,
"Mammalian erythrocytes have short life span due to absence of	ER	Mitochondria	Nucleus	Golgi comples	c	Biology						",,
"Vagus nerve slows down heart beat due to secretion of 	adrenaline	Acetylcholine	norepinephrine	Dopamine	b	Biology						",,
"Volume of urine is regulated by	Aldosterone	Aldosterone and ADH	Aldosterone"," ADH and testosterone	ADH	b	Biology						",
"Occipital lobe is connected with 	smell	vision	hearing	speech	b	Biology						",,
"Area of retina having maximum no of cones is	Conjunctiva	Iris	Blind Spot	Forex centralis	d	Biology						",,
"Complete failure of anterior lobe of pituitary causes	addison's disease	Aeromegaly	Cushing's disease	Simmond's disease	d	Biology						",,
"Brachial and musculo-cutaneous veins in frog unite to form	innominate vein	Ext. jugular vein	subclavian vein	post caval vein	c	Biology						",,
"Venous system of frog differs from that of mammal in presence of	Hepatic portal system	Renal portal system	Three renacava	Hepatic vein	b	Biology						",,
In earthworm," septa are abent in segments	8-12	17-21	1-4	14-26	c	Biology						",
Schuffner's dots, in patient of malaria," are found in 	RBCs	Liver cells	Signet-ring bophozoites	Gametocytes of plasmodium	a	Biology						"
"pH of saliva is about	1.5	3.5	6.8	7.4	c	Biology						",,
"Which was absent in atmosphere at the time of origin of life	$ NH_3 $	$ H_2 $	$ O_2 $	$ CH_4 $	c	Biology						",,
"Which is direct ancestor of Homo Sapiens?	Homo erectus	H. Sapiens neanderthalensis	Ramapitheeus	Australopitheeus	a	Biology						",,
"Endothelium lining of blood vessel is formed of	ciliated epithelium	columnar epithelium	cuboidal epithelium	simple squamous epithelium	d	Biology						",,
"HIV attacks	B-cell	T-cells	Antigen presenting cells	T-helper cells	d	Biology						",,
"Cocaine is obtained from	Rauwolfia	Erythroxylon	Papaver	Encalyptus	b	Biology						",,
"Morphogenetic movements occur in	Cleavage stage	Morula	Blartula	Gastrula	d	Biology						",,
"Parietal bone is found in	Pectoral gridle	pelvic gridle	skull	limb	c	Biology						",,
"Integument without hair and oil glands is related to	Xerodes	Aquatia mammals	Terrestrial mammals	Scansorials	b	Biology						",,
"Canal system is characteristic of	sponges	Sea-anemone	Sea-urchin	hydra	a	Biology						",,
"Telly fishes belong to class	Hydrowa	Scyphowa	Anthowa	None	b	Biology						",,
"Both extracellular and intracellular digestion is found in	Porifera	Protozoa	Coelentrata	Platyhelminthesis	c	Biology						",,
"Which is not found in male cockroach?	Phallic gland	Mushroom gland	Utricular gland	Collarated gland	d	Biology						",,
"Which is social inseet?	White ants	Locusts	Bed bug	Mosquitoes	a	Biology						",,
"Salamander is member of 	Aves	Amphibia	Reptile	Pisces	b	Biology						",,
"Retrogressive metamorphosis is found in	Cephalochordata	Urochrondata	Fishes	Amphibia	b	Biology						",,
"Whate is mammal because it has	Diaphragm	Protuted Serotum	vivipary	Mammary glands	d	Biology						",,
"Mycoplasma differs from bacteria in the absence of	DNA	Ribosome	Cell membrane	Cell wall	d	Biology						",,
"The organism which has the property of changing sugar m to alcohol 	Mucor	Saccharomyces	Spitogyra	Chlamydomonas	b	Biology						",,
"Rhizoid in Marchendra are	Branched unclullar	Branched mutillation	Unbranched multicellular	Unbranched uniicellular		Biology						",,
"A term differs from moss in having	swimming archegonia	Swimming antherozorth	independent gametophytes	independent sporophytes	d	Biology						",,
"Archegonia of gymnosperm lack	neck and all	Venter end call	both a and b	venter cell	c	Biology						",,
"The corc cambium corc and secondary cortex are collectively called	phellogen	phellem	peridum	phellodem	c	Biology						",,
"Active absorption of water is affective by	osmosis in cytoplasm	transpiration pull	osmotic tissue	None	b	Biology						",,
"The functional unit of chloroplast is 	oxysomes	quantasomes	chlorophyll	grana	b	Biology						",,
"Lysosome was discovered by	Tatum 	Palade	Kollicker	de Dude		Biology						",,
"Mesogamy is the entry of pollen through	Integument	micropyle	chalaza 	mesocards	a	Biology						",,
"Ovules symmetrized and straight with chdara at the base and micropyle at the tip are called	Andropous	amphitropous	orthotropous	campylotropous	c	Biology						",,
"Double fertilisation is the	fertilization of two eggs in embryo sac	fusion of one male gamete with egg and other with secondary nuclei	fusion of two male gamets with polar nucleus	fusion of one male gamete with secondary nucleus.	b	Biology						",,
"Respiratory roots ( pneumato phores) are present in 	mesophytes	halophytes	xerophytes	hydrophytes	b	Biology						",,
"Fruit developing from spike inflorencence is 	syconus	sorosis	balausta	pepo	a	Biology						",,
"Gossypium hirsutum is the botanked name of 	potato	suggarcane	soyabean	cotton plant	d	Biology						",,
"What is Chargaff's law?	A + C = G + T	A + T = G + C	A + G = C + T	None	c	Biology						",,
"Interchange of parts of chromatids of a pair of chromosome is known as	gene mutation	Crossing over	Linkage	Dihybrid cross	b	Biology						",,
"The embryos produced from somatic cells in tissue culture are known as.	callus	callose	Embryoid	Embryon	c	Biology						",,
"DNA recombiant technology is also called	gene theory	Gene mutation	genetic engineering	DNA finger prints	c	Biology						",,
"The association of fungus and roots of higher plants are called	pneumatophores	assimilatory roots	floating roots	mycorrhizal roots	d	Biology						",,
